timestamp,floorplan,beds,sqft,unit,date_available,starting_price,deposit,special,url
2026-07-21T07:52:21,2B-1 & 1A,2 Bed(s),1350,1705,8/14/2026,"$6,025.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-10B Upgraded,2 Bed(s),2075,2303,7/22/2026,"$9,175.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-2,2 Bed(s),1602,1703,8/14/2026,"$6,650.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-2,2 Bed(s),1602,1503,8/28/2026,"$6,485.00",,,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-4,2 Bed(s),1437,0711,8/14/2026,"$5,565.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-4,2 Bed(s),1437,1511,8/14/2026,"$6,010.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-5,2 Bed(s),1864,1510,Available Now,"$6,785.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-5,2 Bed(s),1864,0810,9/14/2026,"$6,415.00",,,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-5,2 Bed(s),1861,1010,9/14/2026,"$6,515.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2B-5,2 Bed(s),1861,1110,9/14/2026,"$6,565.00",,First Month's Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2D,2 Bed(s),1739,1204,7/29/2026,"$6,250.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2D,2 Bed(s),1739,0904,8/14/2026,"$6,010.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,2D,2 Bed(s),1739,1004,8/14/2026,"$6,100.00",,1 1/2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T07:52:21,3A,3 Bed(s),1710,1502,8/14/2026,"$7,400.00",,,https://gardencommunitiesca.securecafe.com/onlineleasing/lux-by-garden/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2152097
2026-07-21T08:52:26,North Tower Catalina,1 Bed(s),872,0703,Available Now,"$3,375.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
2026-07-21T08:52:26,North Tower Catalina,1 Bed(s),872,1615,Available Now,"$3,625.00","$1,000.00",2 Months' Rent Free at Move In,https://gardencommunitiesca.securecafe.com/onlineleasing/towers-at-costa-verde/oleapplication.aspx?stepname=Apartments&myOlePropertyId=2148144
